name,city,state,latitude,longitude,map_latitude,map_longitude,start_year,end_year,region
Madlib,Oxnard,CA,34.1914,119.1825,34.1914,119.1825,2007,present,SC
Mase,Jacksonville,FL,30.3369,81.6614,30.3369,81.6614,1993,present,S
Master P,New Orleans,LA,29.95,90.0667,29.4,90.8,1990,present,S
MC Paul Barman,Ridgewood,NJ,40.9816,74.1135,40.9816,74.1135,1998,present,NE
Meek Mill,North Philadelphia,PA,39.95,75.1667,39.95,75.1667,2003,present,NE
Melle Mel,Bronx,NY,40.8373,73.886,40.8373,73.886,1978,present,NE
Method Man,Staten Island,NY,40.5763,74.1448,40.5763,74.1448,1992,present,NE
MF DOOM,Long Island,NY,40.8,73.3,40.8,73.3,1988,present,NE
Missy Elliot,Portsmouth,VA,36.8313,76.3456,36.8313,77,1991,present,S
Mobb Deep,Queens,NY,40.75,73.8667,40.75,73.8667,1992,present,NE
Mos Def,Brooklyn,NY,40.6928,73.9903,40.6928,73.9903,1994,present,NE
Murs,"South Central, Los Angeles",CA,33.9275,118.2772,33.9275,118.2772,1996,present,SC
Nas,Brooklyn,NY,40.6928,73.9903,40.6928,73.9903,1991,present,NE
Nelly,Austin,TX,30.25,97.75,30.25,97.75,1993,present,S
Nicki Minaj,"Jamaica, Queens",NY,40.7037,73.7991,40.7037,73.7991,2004,present,NE
Notorious B.I.G.,New York City,NY,40.7127,74.0059,40.7127,74.0059,1992,1997,NE
Ol Dirty Bastard,New York City,NY,40.7127,74.0059,40.7127,74.0059,1989,2010,NE
Outkast,Atlanta,GA,33.755,84.39,33.755,85.4,1993,present,S
Paul Wall,Houston,TX,29.7604,95.3698,29.7604,94.8,2001,present,S
Pharrell,Virginia Beach,VA,36.8506,75.9779,36.8506,75.9779,1992,present,S
Pimp C,Los Angeles,CA,34.05,118.25,34,118.3,1987,2007,SC
Public Enemy,Long Island,NY,40.8,73.3,40.8,73.3,1982,present,NE
Pusha T,Bronx,NY,40.8373,73.886,40.8373,73.886,1992,present,NE
Common Market,Seattle,WA,47.6097,122.3331,47.56,122.28,2009,present,W
Raekwon,Staten Island,NY,40.5763,74.1448,40.5763,74.1448,1992,present,NE
Rakim,Long Island,NY,40.8,73.3,40.8,73.3,1985,present,NE
Ratking,New York City,NY,40.7127,74.0059,40.7127,74.0059,2011,present,NE
Redman,Newark,NJ,40.7242,74.1726,40.7242,74.1726,1990,present,NE
Rick Ross,Carol City,FL,25.9406,80.2456,25.9406,80.2456,2001,present,S
Riff Raff,Houston,TX,29.7604,95.3698,29.55,95.7,2001,present,S
Roots,Philadelphia,PN,39.95,75.1667,39.95,75.1667,1987,present,NE
Run DMC,Queens,NY,40.75,73.8667,40.75,73.8667,1981,2002,NE
Salt-n-Peppa,Queens,NY,40.75,73.8667,40.75,73.8667,1985,present,NE
Schoolboy Q,South Central Los Angeles,CA,33.9275,118.2772,33.9275,118.2772,2007,present,SC
P Diddy,Harlem,NY,40.809,73.9484,40.809,73.9484,1993,present,NE
Slick Rick,Bronx,NY,40.8373,73.886,40.8373,73.886,1982,present,NE
Snoop Dogg,Long Beach,CA,33.7683,118.1956,33.7683,118.1956,1992,present,SC
Sonic Sum,New York City,NY,40.7127,74.0059,40.7127,74.0059,1998,present,NE
The Sugarhill Gang,Englewood,NJ,40.8912,73.9725,40.8912,73.9725,1973,present,NE
T.I.,Atlanta,GA,33.755,84.39,33.755,83.3,1996,present,S
Talib Kweli,Brooklyn,NY,40.6928,73.9903,40.6928,73.9903,1995,present,NE
Tech N9ne,Kansa City,MI,39.0997,94.5783,39.0997,94.5783,1991,present,MW
The Game,Compton,CA,33.8967,118.225,33.84g5,118.24,2002,present,SC
The Weeknd,Ontario,Canada,50,80,50,80,2010,present,NE
Too Short,East Oakland,CA,37.8044,122.2708,37.825,122.2,1982,present,NC
Tribe Called Quest,Queens,NY,40.75,73.8667,40.75,73.8667,1985,2013,NE
2Pac,"East Harlem, NY",NY,40.798,73.94,40.798,73.94,1998,1996,NE
Twista,Chicago,IL,41.8369,87.6847,41.4,87.6,1991,present,MW
Tyga,Compton,CA,33.8967,118.225,33.875,118.3,2007,present,SC
Tyler the Creator,Ladera Heights,CA,33.9889,118.3742,33.9889,118.4,2007,present,SC
UGK,Port Arthur,TX,29.885,93.94,29.885,93.94,1987,2007,S
Vic Mensa,Chicago,IL,41.8369,87.6847,41.6,88.2,2009,present,MW
Waka Flaka Flame,Atlanta,GA,33.755,84.39,33,84.8,2008,present,S
Wale,Washington D.C.,DC,38.9047,77.0164,38.9047,77.0164,2005,present,NE
Will Smith,West Philadelphia,PA,,,,,1985,present,NE
Wu Tang Clan,Staten Island,NY,40.5763,74.1448,40.5763,74.1448,1992,present,NE
Young Jeezy,Columbia,SC,34.0298,80.8966,34.0298,80.8966,2000,present,S
Young Thug,Atlanta,GA,33.755,84.39,33,83.8,2011,present,S
