name,city,state,latitude,longitude,map_latitude,map_longitude,start_year,end_year,region,external_links
Cam'ron,Harlem,NY,40.809,73.9484,40.845,73.96,1993,present,NE,"<ul class=""external_links"">               <li class=""allmusic-favicon"">
          
          
          <a href=""http://www.allmusic.com/artist/mn0000224312"">AllMusic</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.bbc.co.uk/music/artists/ea6b7199-901d-4c0e-8242-6d7bc2bf62b7"">BBC Music</a>
          
          
        </li>               <li class=""discogs-favicon"">
          
          
          <a href=""http://www.discogs.com/artist/92898"">Discogs</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.imdb.com/name/nm1004112/"">IMDb</a>
          
          
        </li>               <li class=""lastfm-favicon"">
          
          
          <a href=""http://www.last.fm/music/Cam'ron"">Cam'ron</a>
          
          
        </li>               <li class=""myspace-favicon"">
          
          
          <a href=""https://myspace.com/camron"">camron</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://musicmoz.org/Bands_and_Artists/C/Cam'ron/"">MusicMoz</a>
          
          
        </li>               <li class=""rateyourmusic-favicon"">
          
          
          <a href=""http://rateyourmusic.com/artist/camron"">Rateyourmusic</a>
          
          
        </li>               <li class=""iTunes-favicon"">
          
          
          <a href=""https://itunes.apple.com/us/artist/id416445"">iTunes</a>
          
          
        </li>               <li class=""soundcloud-favicon"">
          
          
          <a href=""https://soundcloud.com/camronofficial"">camronofficial</a>
          
          
        </li>               <li class=""viaf-favicon"">
          
          
          <a href=""http://viaf.org/viaf/56236743"">VIAF: 56236743</a>
          
          
        </li>               <li class=""wikidata-favicon"">
          
          
          <a href=""//www.wikidata.org/wiki/Q434913"">Q434913</a>
          
          
        </li>               <li class=""wikipedia-favicon"">
          
          
          <a href=""//en.wikipedia.org/wiki/Cam'ron"">en: Cam'ron</a>
          
          
        </li>        <li class=""all-relationships""><a href=""http://musicbrainz.org/artist/ea6b7199-901d-4c0e-8242-6d7bc2bf62b7/relationships"" title=""Cam’ron""><bdi>View all relationships</bdi></a></li></ul>"
Canibus,New York City,NY,40.7127,74.0059,40.76,74.03,1992,present,NE,"<ul class=""external_links"">               <li class=""allmusic-favicon"">
          
          
          <a href=""http://www.allmusic.com/artist/mn0000654393"">AllMusic</a>
          
          
        </li>               <li class=""discogs-favicon"">
          
          
          <a href=""http://www.discogs.com/artist/126433"">Discogs</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.imdb.com/name/nm0133974/"">IMDb</a>
          
          
        </li>               <li class=""rateyourmusic-favicon"">
          
          
          <a href=""http://rateyourmusic.com/artist/canibus"">Rateyourmusic</a>
          
          
        </li>               <li class=""viaf-favicon"">
          
          
          <a href=""http://viaf.org/viaf/56808328"">VIAF: 56808328</a>
          
          
        </li>               <li class=""wikidata-favicon"">
          
          
          <a href=""//www.wikidata.org/wiki/Q734481"">Q734481</a>
          
          
        </li>               <li class=""wikipedia-favicon"">
          
          
          <a href=""//en.wikipedia.org/wiki/Canibus"">en: Canibus</a>
          
          
        </li>        <li class=""all-relationships""><a href=""http://musicbrainz.org/artist/3f09f9d0-a88a-41a0-8cd8-a6dbcff2c50d/relationships"" title=""Canibus (Jamaican-American rapper)""><bdi>View all relationships</bdi></a></li></ul>"
Chance the Rapper,Chicago,IL,41.8369,87.6847,42.3,87.6847,2009,present,MW,"<ul class=""external_links"">               <li class=""home-favicon"">
          
          
          <a href=""http://chanceraps.com/"">Official homepage</a>
          
          
        </li>               <li class=""allmusic-favicon"">
          
          
          <a href=""http://www.allmusic.com/artist/mn0003115050"">AllMusic</a>
          
          
        </li>               <li class=""discogs-favicon"">
          
          
          <a href=""http://www.discogs.com/artist/3268583"">Discogs</a>
          
          
        </li>               <li class=""rateyourmusic-favicon"">
          
          
          <a href=""https://rateyourmusic.com/artist/chance_the_rapper"">Rateyourmusic</a>
          
          
        </li>               <li class=""twitter-favicon"">
          
          
          <a href=""https://twitter.com/CHANCETHERAPPER"">@CHANCETHERAPPER</a>
          
          
        </li>               <li class=""facebook-favicon"">
          
          
          <a href=""https://www.facebook.com/chancetherapper"">chancetherapper</a>
          
          
        </li>               <li class=""soundcloud-favicon"">
          
          
          <a href=""https://soundcloud.com/chancetherapper"">chancetherapper</a>
          
          
        </li>               <li class=""viaf-favicon"">
          
          
          <a href=""http://viaf.org/viaf/305038078"">VIAF: 305038078</a>
          
          
        </li>               <li class=""wikidata-favicon"">
          
          
          <a href=""//www.wikidata.org/wiki/Q12470060"">Q12470060</a>
          
          
        </li>               <li class=""wikipedia-favicon"">
          
          
          <a href=""//en.wikipedia.org/wiki/Chance_the_Rapper"">en: Chance the Rapper</a>
          
          
        </li>        <li class=""all-relationships""><a href=""http://musicbrainz.org/artist/373a4c98-a46b-48e4-86ec-f6ca65b4f438/relationships"" title=""Chance the Rapper""><bdi>View all relationships</bdi></a></li></ul>"
Charles Hamilton,Harlem,NY,40.809,73.9484,40.835,73.91,2005,present,NE,"<ul class=""external_links"">               <li class=""discogs-favicon"">
          
          
          <a href=""http://www.discogs.com/artist/767794"">Discogs</a>
          
          
        </li>               <li class=""wikidata-favicon"">
          
          
          <a href=""//www.wikidata.org/wiki/Q1064725"">Q1064725</a>
          
          
        </li>               <li class=""wikipedia-favicon"">
          
          
          <a href=""//en.wikipedia.org/wiki/Charles_Hamilton_(rapper)"">en: Charles Hamilton (rapper)</a>
          
          
        </li>        <li class=""all-relationships""><a href=""http://musicbrainz.org/artist/97daf4f4-34d4-4666-9175-02105a594378/relationships"" title=""Hamilton, Charles""><bdi>View all relationships</bdi></a></li></ul>"
Chief Keef,Chicago,IL,41.8369,87.6847,42.1,88.3,2011,present,MW,"<ul class=""external_links"">               <li class=""home-favicon"">
          
          
          <a href=""http://www.chiefkeef.com/lovesosa/"">Official homepage</a>
          
          
        </li>               <li class=""allmusic-favicon"">
          
          
          <a href=""http://www.allmusic.com/artist/mn0002937107"">AllMusic</a>
          
          
        </li>               <li class=""discogs-favicon"">
          
          
          <a href=""http://www.discogs.com/artist/2809823"">Discogs</a>
          
          
        </li>               <li class=""lastfm-favicon"">
          
          
          <a href=""http://www.last.fm/music/Chief+Keef"">Chief Keef</a>
          
          
        </li>               <li class=""rateyourmusic-favicon"">
          
          
          <a href=""http://rateyourmusic.com/artist/chief_keef"">Rateyourmusic</a>
          
          
        </li>               <li class=""twitter-favicon"">
          
          
          <a href=""https://twitter.com/campaignsosa300"">@campaignsosa300</a>
          
          
        </li>               <li class=""twitter-favicon"">
          
          
          <a href=""https://twitter.com/ChiefKeef"">@ChiefKeef</a>
          
          
        </li>               <li class=""facebook-favicon"">
          
          
          <a href=""https://www.facebook.com/thefamouschiefkeef"">thefamouschiefkeef</a>
          
          
        </li>               <li class=""wikidata-favicon"">
          
          
          <a href=""//www.wikidata.org/wiki/Q127362"">Q127362</a>
          
          
        </li>               <li class=""wikipedia-favicon"">
          
          
          <a href=""//en.wikipedia.org/wiki/Chief_Keef"">en: Chief Keef</a>
          
          
        </li>               <li class=""youtube-favicon"">
          
          
          <a href=""//www.youtube.com/user/ChiefKeefVEVO"">ChiefKeefVEVO</a>
          
          
        </li>        <li class=""all-relationships""><a href=""http://musicbrainz.org/artist/9118f524-be76-4eaf-875c-ccf15e2a2ad6/relationships"" title=""Chief Keef""><bdi>View all relationships</bdi></a></li></ul>"
Chuck D,Roosevelt,NY,40.6792,73.5856,40.6792,73.5856,1986,present,NE,"<ul class=""external_links"">               <li class=""allmusic-favicon"">
          
          
          <a href=""http://www.allmusic.com/artist/mn0000359359"">AllMusic</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.bbc.co.uk/music/artists/88633ac3-c8e2-420f-8415-77ac56b3105f"">BBC Music</a>
          
          
        </li>               <li class=""discogs-favicon"">
          
          
          <a href=""http://www.discogs.com/artist/54211"">Discogs</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.imdb.com/name/nm0195982/"">IMDb</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://musicmoz.org/Bands_and_Artists/C/Chuck_D/"">MusicMoz</a>
          
          
        </li>               <li class=""rateyourmusic-favicon"">
          
          
          <a href=""http://rateyourmusic.com/artist/chuck_d"">Rateyourmusic</a>
          
          
        </li>               <li class=""twitter-favicon"">
          
          
          <a href=""https://twitter.com/MrChuckD"">@MrChuckD</a>
          
          
        </li>               <li class=""viaf-favicon"">
          
          
          <a href=""http://viaf.org/viaf/50160928"">VIAF: 50160928</a>
          
          
        </li>               <li class=""wikidata-favicon"">
          
          
          <a href=""//www.wikidata.org/wiki/Q733373"">Q733373</a>
          
          
        </li>               <li class=""wikipedia-favicon"">
          
          
          <a href=""//en.wikipedia.org/wiki/Chuck_D"">en: Chuck D</a>
          
          
        </li>        <li class=""all-relationships""><a href=""http://musicbrainz.org/artist/88633ac3-c8e2-420f-8415-77ac56b3105f/relationships"" title=""Chuck D""><bdi>View all relationships</bdi></a></li></ul>"
Common,Chicago,IL,41.8369,87.6847,41.9,87,1992,present,MW,"<ul class=""external_links"">               <li class=""home-favicon"">
          
          
          <a href=""http://www.common-music.com/"">Official homepage</a>
          
          
        </li>               <li class=""allmusic-favicon"">
          
          
          <a href=""http://www.allmusic.com/artist/mn0000115253"">AllMusic</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.bbc.co.uk/music/artists/c0a1179b-b14a-4d68-a3c1-1fdab16ed602"">BBC Music</a>
          
          
        </li>               <li class=""discogs-favicon"">
          
          
          <a href=""http://www.discogs.com/artist/14014"">Discogs</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.imdb.com/name/nm0996669/"">IMDb</a>
          
          
        </li>               <li class=""myspace-favicon"">
          
          
          <a href=""https://myspace.com/common"">common</a>
          
          
        </li>               <li class=""rateyourmusic-favicon"">
          
          
          <a href=""http://rateyourmusic.com/artist/common"">Rateyourmusic</a>
          
          
        </li>               <li class=""twitter-favicon"">
          
          
          <a href=""https://twitter.com/common"">@common</a>
          
          
        </li>               <li class=""facebook-favicon"">
          
          
          <a href=""https://www.facebook.com/thinkcommon"">thinkcommon</a>
          
          
        </li>               <li class=""viaf-favicon"">
          
          
          <a href=""http://viaf.org/viaf/66097422"">VIAF: 66097422</a>
          
          
        </li>               <li class=""wikidata-favicon"">
          
          
          <a href=""//www.wikidata.org/wiki/Q286022"">Q286022</a>
          
          
        </li>               <li class=""wikipedia-favicon"">
          
          
          <a href=""//en.wikipedia.org/wiki/Common_(entertainer)"">en: Common (entertainer)</a>
          
          
        </li>               <li class=""youtube-favicon"">
          
          
          <a href=""//www.youtube.com/user/thinkcommon"">thinkcommon</a>
          
          
        </li>        <li class=""all-relationships""><a href=""http://musicbrainz.org/artist/c0a1179b-b14a-4d68-a3c1-1fdab16ed602/relationships"" title=""Common (US rapper)""><bdi>View all relationships</bdi></a></li></ul>"
CunninLynguists,Lexington,KN,38.0297,84.4947,38.0297,84.4947,2000,present,MW,"<ul class=""external_links"">               <li class=""home-favicon"">
          
          
          <a href=""http://www.cunninlynguists.com/"">Official homepage</a>
          
          
        </li>               <li class=""discogs-favicon"">
          
          
          <a href=""http://www.discogs.com/artist/66806"">Discogs</a>
          
          
        </li>               <li class=""facebook-favicon"">
          
          
          <a href=""https://www.facebook.com/CunninLynguists"">CunninLynguists</a>
          
          
        </li>               <li class=""wikidata-favicon"">
          
          
          <a href=""//www.wikidata.org/wiki/Q1144020"">Q1144020</a>
          
          
        </li>               <li class=""wikipedia-favicon"">
          
          
          <a href=""//en.wikipedia.org/wiki/CunninLynguists"">en: CunninLynguists</a>
          
          
        </li>        <li class=""all-relationships""><a href=""http://musicbrainz.org/artist/69c4cc43-8163-41c5-ac81-30946d27bb69/relationships"" title=""CunninLynguists""><bdi>View all relationships</bdi></a></li></ul>"
Currensy,New Orleans,LA,29.95,90.0667,30.2,89.1,2002,present,S,"<ul class=""external_links"">               <li class=""home-favicon"">
          
          
          <a href=""http://www.currensyspitta.com/"">Official homepage</a>
          
          
        </li>               <li class=""allmusic-favicon"">
          
          
          <a href=""http://www.allmusic.com/artist/mn0000784396"">AllMusic</a>
          
          
        </li>               <li class=""discogs-favicon"">
          
          
          <a href=""http://www.discogs.com/artist/1493214"">Discogs</a>
          
          
        </li>               <li class=""discogs-favicon"">
          
          
          <a href=""http://www.discogs.com/artist/331630"">Discogs</a>
          
          
        </li>               <li class=""lastfm-favicon"">
          
          
          <a href=""http://www.last.fm/music/Curren$y"">Curren$y</a>
          
          
        </li>               <li class=""myspace-favicon"">
          
          
          <a href=""https://myspace.com/flyspitta"">flyspitta</a>
          
          
        </li>               <li class=""rateyourmusic-favicon"">
          
          
          <a href=""https://rateyourmusic.com/artist/curren_y"">Rateyourmusic</a>
          
          
        </li>               <li class=""twitter-favicon"">
          
          
          <a href=""https://twitter.com/CurrenSy_Spitta"">@CurrenSy_Spitta</a>
          
          
        </li>               <li class=""facebook-favicon"">
          
          
          <a href=""https://www.facebook.com/CurrenSy"">CurrenSy</a>
          
          
        </li>               <li class=""viaf-favicon"">
          
          
          <a href=""http://viaf.org/viaf/9591399"">VIAF: 9591399</a>
          
          
        </li>               <li class=""wikidata-favicon"">
          
          
          <a href=""//www.wikidata.org/wiki/Q1144846"">Q1144846</a>
          
          
        </li>               <li class=""wikipedia-favicon"">
          
          
          <a href=""//en.wikipedia.org/wiki/Currensy"">en: Currensy</a>
          
          
        </li>               <li class=""youtube-favicon"">
          
          
          <a href=""//www.youtube.com/user/CurrensySpittaTV"">CurrensySpittaTV</a>
          
          
        </li>        <li class=""all-relationships""><a href=""http://musicbrainz.org/artist/4ce1c576-305a-4b82-82fa-5e5359056219/relationships"" title=""Currensy""><bdi>View all relationships</bdi></a></li></ul>"
Cypress Hill,South Gate,CA,33.9442,118.195,33.9442,118.195,1988,present,SC,"<ul class=""external_links"">               <li class=""home-favicon"">
          
          
          <a href=""http://cypresshill.com/"">Official homepage</a>
          
          
        </li>               <li class=""allmusic-favicon"">
          
          
          <a href=""http://www.allmusic.com/artist/mn0000147315"">AllMusic</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.bbc.co.uk/music/artists/51508c1f-8d07-4a00-9cf1-26c570fe7b78"">BBC Music</a>
          
          
        </li>               <li class=""discogs-favicon"">
          
          
          <a href=""http://www.discogs.com/artist/37905"">Discogs</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.imdb.com/name/nm1290213/"">IMDb</a>
          
          
        </li>               <li class=""lastfm-favicon"">
          
          
          <a href=""http://www.last.fm/music/Cypress+Hill"">Cypress Hill</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""//lyrics.wikia.com/Cypress_Hill"">LyricWiki</a>
          
          
        </li>               <li class=""myspace-favicon"">
          
          
          <a href=""https://myspace.com/cypresshill"">cypresshill</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://musicmoz.org/Bands_and_Artists/C/Cypress_Hill/"">MusicMoz</a>
          
          
        </li>               <li class=""rateyourmusic-favicon"">
          
          
          <a href=""http://rateyourmusic.com/artist/cypress_hill"">Rateyourmusic</a>
          
          
        </li>               <li class=""musiksammler-favicon"">
          
          
          <a href=""http://www.musik-sammler.de/artist/144"">Musik-Sammler</a>
          
          
        </li>               <li class=""iTunes-favicon"">
          
          
          <a href=""https://itunes.apple.com/us/artist/id465802"">iTunes</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.purevolume.com/therealcypresshill"">PureVolume</a>
          
          
        </li>               <li class=""secondhandsongs-favicon"">
          
          
          <a href=""http://www.secondhandsongs.com/artist/2343"">SecondHandSongs</a>
          
          
        </li>               <li class=""googleplus-favicon"">
          
          
          <a href=""https://plus.google.com/116702908171138576613"">Google+</a>
          
          
        </li>               <li class=""twitter-favicon"">
          
          
          <a href=""https://twitter.com/cypresshill"">@cypresshill</a>
          
          
        </li>               <li class=""facebook-favicon"">
          
          
          <a href=""https://www.facebook.com/cypresshill"">cypresshill</a>
          
          
        </li>               <li class=""soundcloud-favicon"">
          
          
          <a href=""https://soundcloud.com/chxrsk"">chxrsk</a>
          
          
        </li>               <li class=""viaf-favicon"">
          
          
          <a href=""http://viaf.org/viaf/126849669"">VIAF: 126849669</a>
          
          
        </li>               <li class=""wikidata-favicon"">
          
          
          <a href=""//www.wikidata.org/wiki/Q322196"">Q322196</a>
          
          
        </li>               <li class=""wikipedia-favicon"">
          
          
          <a href=""//en.wikipedia.org/wiki/Cypress_Hill"">en: Cypress Hill</a>
          
          
        </li>               <li class=""youtube-favicon"">
          
          
          <a href=""//www.youtube.com/user/CypressHillVideo"">CypressHillVideo</a>
          
          
        </li>        <li class=""all-relationships""><a href=""http://musicbrainz.org/artist/51508c1f-8d07-4a00-9cf1-26c570fe7b78/relationships"" title=""Cypress Hill""><bdi>View all relationships</bdi></a></li></ul>"
Danny Brown,Detroit,MI,42.3314,83.0458,42,83.0458,2003,present,MW,"<ul class=""external_links"">               <li class=""home-favicon"">
          
          
          <a href=""http://xdannyxbrownx.com/"">Official homepage</a>
          
          
        </li>               <li class=""allmusic-favicon"">
          
          
          <a href=""http://www.allmusic.com/artist/mn0001477553"">AllMusic</a>
          
          
        </li>               <li class=""discogs-favicon"">
          
          
          <a href=""http://www.discogs.com/artist/1059062"">Discogs</a>
          
          
        </li>               <li class=""myspace-favicon"">
          
          
          <a href=""https://myspace.com/dannybrownrd"">dannybrownrd</a>
          
          
        </li>               <li class=""rateyourmusic-favicon"">
          
          
          <a href=""https://rateyourmusic.com/artist/danny_brown"">Rateyourmusic</a>
          
          
        </li>               <li class=""twitter-favicon"">
          
          
          <a href=""https://twitter.com/xdannyxbrownx"">@xdannyxbrownx</a>
          
          
        </li>               <li class=""wikidata-favicon"">
          
          
          <a href=""//www.wikidata.org/wiki/Q2337999"">Q2337999</a>
          
          
        </li>               <li class=""wikipedia-favicon"">
          
          
          <a href=""//en.wikipedia.org/wiki/Danny_Brown_(rapper)"">en: Danny Brown (rapper)</a>
          
          
        </li>        <li class=""all-relationships""><a href=""http://musicbrainz.org/artist/960afc67-9c21-46dd-9c7f-ff2b509e3150/relationships"" title=""Brown, Danny (US rapper)""><bdi>View all relationships</bdi></a></li></ul>"
De la Soul,Long Island,NY,40.8,73.3,40.83,73.35,1987,present,NE,"<ul class=""external_links"">               <li class=""home-favicon"">
          
          
          <a href=""http://www.wearedelasoul.com/"">Official homepage</a>
          
          
        </li>               <li class=""allmusic-favicon"">
          
          
          <a href=""http://www.allmusic.com/artist/mn0000238322"">AllMusic</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.bbc.co.uk/music/artists/a8ebde98-7e91-46c7-992c-90039ba42017"">BBC Music</a>
          
          
        </li>               <li class=""discogs-favicon"">
          
          
          <a href=""http://www.discogs.com/artist/4091"">Discogs</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.imdb.com/name/nm0857252/"">IMDb</a>
          
          
        </li>               <li class=""lastfm-favicon"">
          
          
          <a href=""http://www.last.fm/music/De+La+Soul"">De La Soul</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""//lyrics.wikia.com/De_La_Soul"">LyricWiki</a>
          
          
        </li>               <li class=""myspace-favicon"">
          
          
          <a href=""https://myspace.com/delasoul"">delasoul</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://musicmoz.org/Bands_and_Artists/D/De_La_Soul/"">MusicMoz</a>
          
          
        </li>               <li class=""rateyourmusic-favicon"">
          
          
          <a href=""http://rateyourmusic.com/artist/de_la_soul"">Rateyourmusic</a>
          
          
        </li>               <li class=""musiksammler-favicon"">
          
          
          <a href=""http://www.musik-sammler.de/artist/3694"">Musik-Sammler</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.purevolume.com/delasoul"">PureVolume</a>
          
          
        </li>               <li class=""secondhandsongs-favicon"">
          
          
          <a href=""http://www.secondhandsongs.com/artist/2500"">SecondHandSongs</a>
          
          
        </li>               <li class=""twitter-favicon"">
          
          
          <a href=""https://twitter.com/WeAreDeLaSoul"">@WeAreDeLaSoul</a>
          
          
        </li>               <li class=""facebook-favicon"">
          
          
          <a href=""https://www.facebook.com/wearedelasoul"">wearedelasoul</a>
          
          
        </li>               <li class=""soundcloud-favicon"">
          
          
          <a href=""https://soundcloud.com/wearedelasoul"">wearedelasoul</a>
          
          
        </li>               <li class=""viaf-favicon"">
          
          
          <a href=""http://viaf.org/viaf/152137217"">VIAF: 152137217</a>
          
          
        </li>               <li class=""wikidata-favicon"">
          
          
          <a href=""//www.wikidata.org/wiki/Q685595"">Q685595</a>
          
          
        </li>               <li class=""wikipedia-favicon"">
          
          
          <a href=""//en.wikipedia.org/wiki/De_La_Soul"">en: De La Soul</a>
          
          
        </li>               <li class=""youtube-favicon"">
          
          
          <a href=""//www.youtube.com/user/DeLaSolarSystem"">DeLaSolarSystem</a>
          
          
        </li>        <li class=""all-relationships""><a href=""http://musicbrainz.org/artist/a8ebde98-7e91-46c7-992c-90039ba42017/relationships"" title=""De La Soul""><bdi>View all relationships</bdi></a></li></ul>"
Del the Funky Homosapien,Oakland,CA,37.8044,122.2708,37.8044,122.3,1988,present,NC,"<ul class=""external_links"">               <li class=""home-favicon"">
          
          
          <a href=""http://delthefunkyhomosapien.com/"">Official homepage</a>
          
          
        </li>               <li class=""allmusic-favicon"">
          
          
          <a href=""http://www.allmusic.com/artist/mn0000194875"">AllMusic</a>
          
          
        </li>               <li class=""discogs-favicon"">
          
          
          <a href=""http://www.discogs.com/artist/31712"">Discogs</a>
          
          
        </li>               <li class=""myspace-favicon"">
          
          
          <a href=""https://myspace.com/delthefunkyhomosapien"">delthefunkyhomosapien</a>
          
          
        </li>               <li class=""rateyourmusic-favicon"">
          
          
          <a href=""https://rateyourmusic.com/artist/del_the_funky_homosapien"">Rateyourmusic</a>
          
          
        </li>               <li class=""viaf-favicon"">
          
          
          <a href=""http://viaf.org/viaf/79762063"">VIAF: 79762063</a>
          
          
        </li>               <li class=""wikidata-favicon"">
          
          
          <a href=""//www.wikidata.org/wiki/Q608452"">Q608452</a>
          
          
        </li>               <li class=""wikipedia-favicon"">
          
          
          <a href=""//en.wikipedia.org/wiki/Del_the_Funky_Homosapien"">en: Del the Funky Homosapien</a>
          
          
        </li>        <li class=""all-relationships""><a href=""http://musicbrainz.org/artist/a31a5e0c-d37a-41a8-90d5-9e256a47d83b/relationships"" title=""Del the Funky Homosapien""><bdi>View all relationships</bdi></a></li></ul>"
DJ Kool Herc,Bronx,NY,40.8373,73.886,40.855,73.87,1967,present,NE,"<ul class=""external_links"">               <li class=""allmusic-favicon"">
          
          
          <a href=""http://www.allmusic.com/artist/mn0000950123"">AllMusic</a>
          
          
        </li>               <li class=""discogs-favicon"">
          
          
          <a href=""http://www.discogs.com/artist/14560"">Discogs</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.imdb.com/name/nm0465540/"">IMDb</a>
          
          
        </li>               <li class=""lastfm-favicon"">
          
          
          <a href=""http://www.last.fm/music/DJ+Kool"">DJ Kool</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""//lyrics.wikia.com/DJ_Kool"">LyricWiki</a>
          
          
        </li>               <li class=""rateyourmusic-favicon"">
          
          
          <a href=""http://rateyourmusic.com/artist/dj_kool"">Rateyourmusic</a>
          
          
        </li>               <li class=""musiksammler-favicon"">
          
          
          <a href=""http://www.musik-sammler.de/artist/3635"">Musik-Sammler</a>
          
          
        </li>               <li class=""worldcat-favicon"">
          
          
          <a href=""http://www.worldcat.org/identities/lccn-no98024528/"">WorldCat</a>
          
          
        </li>               <li class=""secondhandsongs-favicon"">
          
          
          <a href=""http://www.secondhandsongs.com/artist/7272"">SecondHandSongs</a>
          
          
        </li>               <li class=""viaf-favicon"">
          
          
          <a href=""http://viaf.org/viaf/21756359"">VIAF: 21756359</a>
          
          
        </li>               <li class=""wikidata-favicon"">
          
          
          <a href=""//www.wikidata.org/wiki/Q332892"">Q332892</a>
          
          
        </li>               <li class=""wikipedia-favicon"">
          
          
          <a href=""//en.wikipedia.org/wiki/DJ_Kool"">en: DJ Kool</a>
          
          
        </li>        <li class=""all-relationships""><a href=""http://musicbrainz.org/artist/22c16b9e-a3fc-48df-9fc1-2dd0b0ffe100/relationships"" title=""Kool, DJ""><bdi>View all relationships</bdi></a></li></ul>"
DMX,Baltimore,MD,39.2833,76.6167,39.2833,76.6167,1991,present,NE,"<ul class=""external_links"">               <li class=""home-favicon"">
          
          
          <a href=""http://www.dmx-official.com/"">Official homepage</a>
          
          
        </li>               <li class=""allmusic-favicon"">
          
          
          <a href=""http://www.allmusic.com/artist/mn0000661795"">AllMusic</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.bbc.co.uk/music/artists/f3bf61f8-97d4-4e52-a73d-2ddbbe8196c8"">BBC Music</a>
          
          
        </li>               <li class=""discogs-favicon"">
          
          
          <a href=""http://www.discogs.com/artist/59769"">Discogs</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://www.imdb.com/name/nm0229422/"">IMDb</a>
          
          
        </li>               <li class=""no-favicon"">
          
          
          <a href=""http://musicmoz.org/Bands_and_Artists/D/DMX/"">MusicMoz</a>
          
          
        </li>               <li class=""rateyourmusic-favicon"">
          
          
          <a href=""http://rateyourmusic.com/artist/dmx"">Rateyourmusic</a>
          
          
        </li>               <li class=""facebook-favicon"">
          
          
          <a href=""https://www.facebook.com/pages/DMX/224574657618962"">DMX</a>
          
          
        </li>               <li class=""wikidata-favicon"">
          
          
          <a href=""//www.wikidata.org/wiki/Q223769"">Q223769</a>
          
          
        </li>               <li class=""wikipedia-favicon"">
          
          
          <a href=""//en.wikipedia.org/wiki/DMX_(rapper)"">en: DMX (rapper)</a>
          
          
        </li>               <li class=""youtube-favicon"">
          
          
          <a href=""//www.youtube.com/user/DMXVEVO"">DMXVEVO</a>
          
          
        </li>        <li class=""all-relationships""><a href=""http://musicbrainz.org/artist/f3bf61f8-97d4-4e52-a73d-2ddbbe8196c8/relationships"" title=""DMX""><bdi>View all relationships</bdi></a></li></ul>"
